,A,B,C
0.0,0.01,0.0,0.0
0.015505,0.009770112355266966,0.0002295293923268906,3.5825240614719735e-07
0.064495,0.009077894778240506,0.0009160889751753565,6.016246584274014e-06
0.1,0.008607079777535144,0.00137873879484538,1.4181427619643083e-05
0.115505,0.008409213647726456,0.001572027699264187,1.8758653009523854e-05
0.164495,0.007813416456838576,0.0021495537687261173,3.702977443546633e-05
0.2,0.0074081822296854435,0.0025381294175054994,5.368835280919991e-05
0.215505,0.007237877273231893,0.0027003103742464208,6.181235252182907e-05
0.264495,0.0067250698779115605,0.003184255791239385,9.067433084919072e-05
0.3,0.006376281545742081,0.003509265911654737,0.00011445254260330356
0.315505,0.006229698711071546,0.003644754865246118,0.00012554642368246133
0.364495,0.005788321294868335,0.004048414775914346,0.00016326392921743593
0.4,0.005488116394822722,0.004318900464281605,0.00019298314089577495
0.415505,0.0053619513796200665,0.004431496612757733,0.00020655200762230257
0.464495,0.0049820543162937304,0.004766309104973067,0.0002516365787332952
0.5,0.0047236655638637735,0.004990048403649571,0.00028628603248673223
0.515505,0.004615074328765454,0.005083020138904109,0.0003019055323305146
0.564495,0.004288093895635344,0.0053588250176545334,0.000353081086710191
0.6,0.004065696635057101,0.005542508921671144,0.00039179444327180554
0.615505,0.0039722312926938706,0.00561866779836165,0.0004091009089445298
0.664495,0.003690796625329486,0.005843929313773173,0.000465274060897386
0.7,0.0034993775289192657,0.00599331325969541,0.0005073092113853494
0.715505,0.0034189311631037697,0.006055077660239011,0.0005259911766572461
0.764495,0.003176698099686837,0.006237076209381493,0.0005862256909316896
0.8,0.0030119421563121907,0.006357110461558303,0.0006309473821295101
0.815505,0.002942701327473516,0.006406560392483315,0.0006507382800431741
0.864495,0.00273420939731489,0.00655155751670382,0.0007142330859812879
0.9,0.0025924026424700257,0.006646499390357704,0.0007610979671722525
0.915505,0.0025328065087023123,0.0066854236453548,0.0007817698459428712
0.964495,0.0023533558411175533,0.00679880404289685,0.0008478401159855726
1.0,0.002231301635923243,0.006872314494066074,0.0008963838700106457
1.015505,0.0021800067681461066,0.00690225124700885,0.0009177419848450073
1.064495,0.0020255521469427105,0.006988645002542565,0.0009858028505146804
1.1,0.0019204991188136033,0.00704387176247528,0.0010356291187110563
1.115505,0.0018763492169000108,0.007066143505574822,0.0010575072775251097
1.164495,0.001743408892229351,0.007129531292301331,0.0011270598154692491
1.2,0.0016529889128314638,0.007169180420578656,0.0011778306665897968
1.215505,0.0016149887400373993,0.007184924035361367,0.0012000872246011526
1.264495,0.00150056594202822,0.00722872766151227,0.001270706396459419
1.3,0.0014227407444121494,0.007255125131104975,0.0013221341244827687
1.315505,0.0013900336925322862,0.007265317770183842,0.0013446485372837665
1.364495,0.0012915490774489068,0.007292478111359985,0.0014159728111909926
1.4,0.0012245643089905116,0.0073076228141164355,0.0014678128768929235
1.415505,0.0011964130885087152,0.007313104177289858,0.0014904827342013
1.464495,0.0011116465946204664,0.007326148251726188,0.0015622051536532105
1.5,0.001053992270020353,0.007331757619381954,0.001614250110597541
1.515505,0.0010297622899681728,0.007333249126312407,0.0016369885837192698
1.564495,0.0009568030924323624,0.007334347825406739,0.0017088490821607419
1.6,0.0009071795552970545,0.007331897094739333,0.0017609233499634395
1.615505,0.0008863246181653343,0.0073300183865041635,0.0017836569953303318
1.664495,0.0008235280547957681,0.0073210361622904506,0.001855435782913601
1.7,0.000780816680499061,0.007311792169763039,0.0019073911497377062
1.715505,0.0007628666697342415,0.007307075311354639,0.0019300580189109268
1.764495,0.0007088171666665515,0.007289612941286958,0.0020015698920462927
1.8,0.000672055146068559,0.007274663209203128,0.002053281644728098
1.815505,0.0006566054286025175,0.007267564913228105,0.0020758296581691645
1.864495,0.0006100845901185437,0.00724299630658282,0.0021469191032984156
1.9,0.0005784432257115126,0.007223274076630425,0.0021982826976578267
1.915505,0.0005651455306344528,0.0072141862238489845,0.002220668245516328
1.964495,0.0005251046738195137,0.00718369009973162,0.002291205226448622
2.0,0.000497870699047376,0.007159995878434649,0.0023421334225177124
2.015505,0.0004864252668088169,0.007149254572386598,0.0023643201608043243
2.064495,0.00045196178191211266,0.0071138417237188,0.002434196494368819
2.1,0.00042852128255979567,0.007086861825682855,0.0024846168917570634
2.115505,0.00041867010772323056,0.0070747551855998665,0.0025065747066766184
2.164495,0.0003890071113314494,0.007035291943954412,0.0025757009447138447
2.2,0.0003688316865363841,0.0070056144511108686,0.002625553862352438
2.215505,0.0003603527017643079,0.006992389318871123,0.0026472579793642625
2.264495,0.0003348215241258282,0.006949617749376196,0.0027155607264976594
2.3,0.00031745637505014955,0.006917746246177141,0.00276479737877238
2.315505,0.000310158445213573,0.006903613958576821,0.0027862275962092795
2.364495,0.00028818355693869125,0.006858169240393819,0.002853647202667153
2.4,0.0002732372345943755,0.006824534634770923,0.0029022281306343494
2.415505,0.0002669558481629486,0.006809675991315523,0.002923368160521177
2.464495,0.0002480418865145158,0.006762101375746048,0.0029898567377390746
2.5,0.00023517746763468758,0.0067270720724916504,0.003037750459873285
2.515505,0.00022977102822180579,0.0067116416107736885,0.003058587361004131
2.564495,0.00021349163054007564,0.006662401294440521,0.0031241070750190206
2.6,0.00020241912258104453,0.006626291950525425,0.0031712889268931304
2.615505,0.00019776575704713616,0.006610421625644916,0.00319181261730755
2.664495,0.00018375394958944892,0.006559911829187888,0.003256334221222257
2.7,0.00017422375365537158,0.006522990888560397,0.0033027853577838086
2.715505,0.00017021856481693343,0.006506793239608756,0.003322988195573891
2.764495,0.00015815849035535586,0.0064553517418798004,0.003386489767764414
2.8,0.00014995577468534147,0.00641784791977382,0.0034321963055403953
2.815505,0.0001465084766996884,0.006401418794837508,0.003452072728462362
2.864495,0.00013612827439830712,0.006349333137757783,0.003514538587843459
2.9,0.00012906813158188192,0.0063114410008538345,0.003559490867563818
2.915505,0.0001261010147039367,0.0062948619020406485,0.003579037083254949
2.964495,0.00011716669177244248,0.006242376451311665,0.0036404568569154173
3.0,0.00011108997052626612,0.006204261219709841,0.003684648809763401
3.015505,0.00010853614935849155,0.006187601321133688,0.003703862529507328
3.064495,0.0001008463063355283,0.0061349233421980984,0.0037642303514658715
3.1,9.561602388036002e-05,0.006096725021616454,0.003807658954502669
